episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
170,-7.210000514984131,29,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0289999999999968,29,
171,-7.2900004386901855,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
172,-7.320000171661377,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,hard,hard_complex_7,1.027999999999997,28,
173,-5.850000858306885,33,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0329999999999964,33,
174,-1.630001187324524,77,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,hard,hard_complex_9,1.0769999999999915,77,
175,-6.890000820159912,32,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0319999999999965,32,
176,10.690027236938477,174,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_8,1.1739999999999808,174,
177,9.600025177001953,174,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.1739999999999808,174,
178,10.740032196044922,175,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.1749999999999807,175,
179,0.8000038266181946,81,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.080999999999991,81,
180,-7.340000152587891,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.027999999999997,28,
181,-7.240000247955322,29,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_4,1.0289999999999968,29,
182,-7.320000171661377,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
183,-7.320000171661377,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,
184,-7.220000267028809,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0289999999999968,29,
185,-1.819998860359192,76,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0759999999999916,76,
